"soc6","soc_code","title","auto_w","pv_w","da_w","tk_w","ag_w","n_tasks","n_core","occupation_category","eloundou_alpha","eloundou_beta","eloundou_gamma","webb_software","webb_robot","webb_ai","sml","felten","frey_osborne","routine_cognitive","routine_manual"
"517032","51-7032.00","Patternmakers, Wood",0.370192307692308,0.870922827119737,0.451600945309653,0.751783170468282,0.569412994389399,20,19,"Production, Transportation & Material Moving",0.205128205128205,0.256410256410256,0.307692307692308,90,51,93,3.23194708707076,3.5154057,0.91,-0.56746477,0.90017396
"514061","51-4061.00","Model Makers, Metal and Plastic",0.368951612903226,1.03087441229634,0.813419040569991,0.521139680189997,0.350401189260531,16,15,"Production, Transportation & Material Moving",0.129032258064516,0.161290322580645,0.193548387096774,90,67,75,3.04202140365964,3.4446552,0.93,1.7937791,0.8415675
"519194","51-9194.00","Etchers and Engravers",0.368534482758621,0.69888851561953,0.591869433185279,0.943532305761257,0.5229039159439,26,3,"Production, Transportation & Material Moving",0,0.136363636363636,0.272727272727273,72,91,34,3.13651917165507,3.1941853,0.98,0.24647947,0.9046823
"519071","51-9071.00","Jewelers and Precious Stone and Metal Workers",0.367647058823529,1.29852693596378,0.584696934279667,0.437812296563651,0.416840852480062,27,24,"Production, Transportation & Material Moving",0.0476190476190476,0.196428571428571,0.345238095238095,20,64,81,3.10789349574886,3.4925029,0.95,0.91536388,0.49143192
"475022","47-5022.00","Excavating and Loading Machine and Dragline Operators, Surface Mining",0.365384615384615,0.846837190498707,0.719504106968713,0.702948093440367,0.340862956426018,16,10,"Construction, Extraction & Maintenance",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"514072","51-4072.00","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.365131578947368,0.491397290496218,0.837356411796395,0.958035002260261,0.536982370681313,28,10,"Production, Transportation & Material Moving",0.0232558139534884,0.0813953488372093,0.13953488372093,85,93,47,3.20088346378081,3.2984478,0.95,0.38348,1.9505812
"499071","49-9071.00","Maintenance and Repair Workers, General",0.364583333333333,0.956731188309506,0.941814724608053,0.572208130368119,0.270833333333333,27,21,"Construction, Extraction & Maintenance",0.0392156862745098,0.137254901960784,0.235294117647059,91,84,57,2.99197318805376,3.6678796,0.64,-0.15646315,0.66574854
"514031","51-4031.00","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.3625,0.525533008588991,0.816746212024588,0.960177669529664,0.433106601717798,32,18,"Production, Transportation & Material Moving",0,0.01,0.02,72,77,80,3.17262516130731,3.3070164,0.78,0.26259753,1.6800898
"514051","51-4051.00","Metal-Refining Furnace Operators and Tenders",0.361979166666667,0.360638753578746,0.941814724608053,0.96875,0.591962782549439,15,9,"Production, Transportation & Material Moving",0.0833333333333333,0.104166666666667,0.125,79,66,54,3.12182369823698,3.637316,0.88,0.1578316,1.4952548
"373012","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.361111111111111,0.558925565098879,0.717456309020728,0.991864077255182,0.344839265621475,10,8,"Building & Grounds Maintenance",0,0.0555555555555556,0.111111111111111,49,73,52,2.92048481839993,3.0930984,0.97,0.23842043,0.72435457
