soc_code,title,n_software
27-2012.00,Producers and Directors,76
27-2012.03,Media Programming Directors,26
27-2012.04,Talent Directors,19
27-2012.05,Media Technical Directors/Managers,38
27-2021.00,Athletes and Sports Competitors,12
27-2022.00,Coaches and Scouts,39
27-2023.00,"Umpires, Referees, and Other Sports Officials",11
27-2031.00,Dancers,12
27-2032.00,Choreographers,14
27-2041.00,Music Directors and Composers,86
27-2042.00,Musicians and Singers,23
27-2091.00,"Disc Jockeys, Except Radio",6
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,18
27-3023.00,"News Analysts, Reporters, and Journalists",41
27-3031.00,Public Relations Specialists,71
27-3041.00,Editors,57
27-3042.00,Technical Writers,71
27-3043.00,Writers and Authors,55
27-3043.05,"Poets, Lyricists and Creative Writers",35
27-3091.00,Interpreters and Translators,28
27-3092.00,Court Reporters and Simultaneous Captioners,27
27-4011.00,Audio and Video Technicians,25
27-4012.00,Broadcast Technicians,24
27-4014.00,Sound Engineering Technicians,33
27-4015.00,Lighting Technicians,12
27-4021.00,Photographers,35
27-4031.00,"Camera Operators, Television, Video, and Film",23
27-4032.00,Film and Video Editors,37
29-1011.00,Chiropractors,34
29-1021.00,"Dentists, General",42
29-1022.00,Oral and Maxillofacial Surgeons,11
29-1023.00,Orthodontists,27
29-1024.00,Prosthodontists,14
29-1031.00,Dietitians and Nutritionists,34
29-1041.00,Optometrists,27
29-1051.00,Pharmacists,23
29-1071.00,Physician Assistants,19
29-1071.01,Anesthesiologist Assistants,30
29-1081.00,Podiatrists,10
29-1122.00,Occupational Therapists,36
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",27
29-1123.00,Physical Therapists,20
29-1124.00,Radiation Therapists,20
29-1125.00,Recreational Therapists,14
29-1126.00,Respiratory Therapists,11
29-1127.00,Speech-Language Pathologists,27
29-1128.00,Exercise Physiologists,8
29-1129.01,Art Therapists,19
29-1129.02,Music Therapists,7
29-1131.00,Veterinarians,20
29-1141.00,Registered Nurses,43
29-1141.01,Acute Care Nurses,24
29-1141.02,Advanced Practice Psychiatric Nurses,29
29-1141.03,Critical Care Nurses,27
29-1141.04,Clinical Nurse Specialists,24
29-1151.00,Nurse Anesthetists,22
29-1161.00,Nurse Midwives,23
29-1171.00,Nurse Practitioners,30
29-1181.00,Audiologists,29
29-1211.00,Anesthesiologists,18
29-1212.00,Cardiologists,3
29-1213.00,Dermatologists,32
29-1214.00,Emergency Medicine Physicians,2
29-1215.00,Family Medicine Physicians,25
29-1216.00,General Internal Medicine Physicians,26
29-1217.00,Neurologists,29
29-1218.00,Obstetricians and Gynecologists,22
29-1221.00,"Pediatricians, General",20
29-1222.00,"Physicians, Pathologists",102
29-1223.00,Psychiatrists,31
29-1224.00,Radiologists,57
29-1229.01,Allergists and Immunologists,39
29-1229.02,Hospitalists,18
29-1229.03,Urologists,32
29-1229.04,Physical Medicine and Rehabilitation Physicians,26
29-1229.05,Preventive Medicine Physicians,29
29-1229.06,Sports Medicine Physicians,33
29-1241.00,"Ophthalmologists, Except Pediatric",27
29-1242.00,"Orthopedic Surgeons, Except Pediatric",12
29-1243.00,Pediatric Surgeons,12
29-1291.00,Acupuncturists,13
29-1292.00,Dental Hygienists,19
29-1299.01,Naturopathic Physicians,14
29-1299.02,Orthoptists,12
29-2011.00,Medical and Clinical Laboratory Technologists,26
29-2011.01,Cytogenetic Technologists,26
29-2011.02,Cytotechnologists,39
29-2011.04,Histotechnologists,12
29-2012.00,Medical and Clinical Laboratory Technicians,33
29-2012.01,Histology Technicians,12
29-2031.00,Cardiovascular Technologists and Technicians,19
29-2032.00,Diagnostic Medical Sonographers,11
29-2033.00,Nuclear Medicine Technologists,10
29-2034.00,Radiologic Technologists and Technicians,24
29-2035.00,Magnetic Resonance Imaging Technologists,12
29-2036.00,Medical Dosimetrists,4
29-2042.00,Emergency Medical Technicians,20
29-2043.00,Paramedics,24
29-2051.00,Dietetic Technicians,29
29-2052.00,Pharmacy Technicians,22
29-2053.00,Psychiatric Technicians,13
29-2055.00,Surgical Technologists,17
29-2056.00,Veterinary Technologists and Technicians,13
29-2057.00,Ophthalmic Medical Technicians,14
29-2061.00,Licensed Practical and Licensed Vocational Nurses,28
29-2072.00,Medical Records Specialists,111
29-2081.00,"Opticians, Dispensing",18
29-2091.00,Orthotists and Prosthetists,27
29-2092.00,Hearing Aid Specialists,7
29-2099.01,Neurodiagnostic Technologists,20
29-2099.05,Ophthalmic Medical Technologists,19
29-2099.08,Patient Representatives,40
29-9021.00,Health Information Technologists and Medical Registrars,111
29-9091.00,Athletic Trainers,17
29-9092.00,Genetic Counselors,25
29-9093.00,Surgical Assistants,11
29-9099.01,Midwives,13
31-1121.00,Home Health Aides,21
31-1122.00,Personal Care Aides,10
31-1131.00,Nursing Assistants,18
31-1132.00,Orderlies,7
31-1133.00,Psychiatric Aides,8
31-2011.00,Occupational Therapy Assistants,37
31-2012.00,Occupational Therapy Aides,11
31-2021.00,Physical Therapist Assistants,33
31-2022.00,Physical Therapist Aides,10
31-9011.00,Massage Therapists,10
31-9091.00,Dental Assistants,11
31-9092.00,Medical Assistants,34
31-9093.00,Medical Equipment Preparers,19
31-9094.00,Medical Transcriptionists,46
